Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,138,540,140,24,0,18,32,88
Paul Sorrento,143,542,136,32,1,23,57,103
Joey Cora,144,583,154,37,6,6,35,32
Álex Rodríguez,146,677,215,54,1,36,59,104
Russ Davis,51,191,39,9,0,5,17,50
Rich Amaral,118,369,91,11,3,1,47,55
Ken Griffey Jr.,140,638,165,26,2,49,78,104
Jay Buhner,150,667,153,29,0,44,84,159
Edgar Martínez,139,634,163,52,2,26,123,84
Luis Sojo,77,264,52,8,1,1,10,13
Darren Bragg,69,235,53,12,1,7,33,35
Brian Hunter,75,221,53,10,0,7,15,43
Doug Strange,88,200,43,7,1,3,14,31
Mark Whiten,40,163,42,7,0,12,21,40
Andy Sheets,47,124,21,8,0,0,10,41
John Marzano,41,120,26,6,0,0,7,15
Dave Hollins,28,113,33,3,0,3,13,15
Alex Diaz,38,84,19,2,0,1,2,8
Jeff Manto,21,63,10,3,0,1,9,12
Ricky Jordan,15,31,7,0,0,1,1,6
Greg Pirkl,7,21,4,1,0,1,0,3
Manny Martínez,9,20,4,2,1,0,3,5
Chris Widger,8,12,2,0,0,0,0,5
Raúl Ibañez,4,6,0,0,0,0,0,1
Mike Jackson,1,0,0,0,0,0,0,0
Norm Charlton,1,0,0,0,0,0,0,0
Bobby Ayala,2,0,0,0,0,0,0,0
